"hour","bc_us_MWh","bc_ab_MWh","datetime_pst"
1,386,27,2001-01-20
2,467,16,2001-01-20 01:00:00
3,489,1,2001-01-20 02:00:00
4,687,15,2001-01-20 03:00:00
5,708,68,2001-01-20 04:00:00
6,715,103,2001-01-20 05:00:00
7,501,150,2001-01-20 06:00:00
8,345,130,2001-01-20 07:00:00
9,676,98,2001-01-20 08:00:00
10,588,47,2001-01-20 09:00:00
11,401,94,2001-01-20 10:00:00
12,315,169,2001-01-20 11:00:00
13,354,151,2001-01-20 12:00:00
14,379,129,2001-01-20 13:00:00
15,387,186,2001-01-20 14:00:00
16,399,124,2001-01-20 15:00:00
17,475,147,2001-01-20 16:00:00
18,702,158,2001-01-20 17:00:00
19,660,173,2001-01-20 18:00:00
20,593,177,2001-01-20 19:00:00
21,470,133,2001-01-20 20:00:00
22,459,142,2001-01-20 21:00:00
23,468,188,2001-01-20 22:00:00
24,551,64,2001-01-20 23:00:00
1,615,46,2001-02-20
2,428,51,2001-02-20 01:00:00
3,181,30,2001-02-20 02:00:00
4,161,14,2001-02-20 03:00:00
5,41,86,2001-02-20 04:00:00
6,531,106,2001-02-20 05:00:00
7,-32,135,2001-02-20 06:00:00
8,-35,127,2001-02-20 07:00:00
9,349,190,2001-02-20 08:00:00
10,60,238,2001-02-20 09:00:00
11,134,211,2001-02-20 10:00:00
12,60,211,2001-02-20 11:00:00
13,292,171,2001-02-20 12:00:00
14,156,161,2001-02-20 13:00:00
15,260,167,2001-02-20 14:00:00
16,561,361,2001-02-20 15:00:00
17,-9,302,2001-02-20 16:00:00
18,-125,317,2001-02-20 17:00:00
19,-92,212,2001-02-20 18:00:00
20,-135,159,2001-02-20 19:00:00
21,-70,157,2001-02-20 20:00:00
22,-161,223,2001-02-20 21:00:00
23,358,252,2001-02-20 22:00:00
24,239,111,2001-02-20 23:00:00
1,232,27,2001-03-20
2,171,39,2001-03-20 01:00:00
3,236,56,2001-03-20 02:00:00
4,211,64,2001-03-20 03:00:00
5,333,82,2001-03-20 04:00:00
6,293,81,2001-03-20 05:00:00
7,-658,204,2001-03-20 06:00:00
8,-786,226,2001-03-20 07:00:00
9,-875,200,2001-03-20 08:00:00
10,-197,259,2001-03-20 09:00:00
11,-133,215,2001-03-20 10:00:00
12,-180,102,2001-03-20 11:00:00
13,-166,99,2001-03-20 12:00:00
14,-181,93,2001-03-20 13:00:00
15,-106,21,2001-03-20 14:00:00
16,-35,-21,2001-03-20 15:00:00
17,-50,-21,2001-03-20 16:00:00
18,19,23,2001-03-20 17:00:00
19,-48,-6,2001-03-20 18:00:00
20,-10,-73,2001-03-20 19:00:00
21,74,-74,2001-03-20 20:00:00
22,-166,-116,2001-03-20 21:00:00
23,-255,-89,2001-03-20 22:00:00
24,-397,-181,2001-03-20 23:00:00
1,-306,-198,2001-04-20
2,-401,-91,2001-04-20 01:00:00
3,-521,-23,2001-04-20 02:00:00
4,-733,18,2001-04-20 03:00:00
5,-699,-34,2001-04-20 04:00:00
6,-833,15,2001-04-20 05:00:00
7,-1115,72,2001-04-20 06:00:00
8,-1093,138,2001-04-20 07:00:00
